544,9
164,106
317,89
113,48
245,149
466,7
571,123
389,43
77,75
439,59
209,16
318,66
660,16
456,26
441,93
81,56
405,94
112,3
96,62
521,8
162,89
468,143
70,126
615,89
605,64
242,72
480,149
306,130
78,86
60,135
98,75
700,12
80,119
538,132
215,52
44,41
518,47
424,31
195,80
196,101
535,42
693,120
99,140
16,6
142,47
121,72
525,150
616,121
520,147
484,57
574,144
687,22
673,105
142,137
242,143
468,15
76,106
42,118
372,148
475,44
29,131
96,122
637,71
373,139
389,46
96,50
1,135
67,86
382,147
215,9
654,66
132,77
416,89
418,136
425,66
47,53
425,137
343,18
424,141
80,21
214,112
193,35
667,14
83,42
449,68
481,50
431,30
398,59
620,66
671,78
604,22
424,48
453,37
474,55
413,74
310,102
152,81
550,43
544,53
463,132
392,86
598,141
396,52
361,124
555,15
470,137
591,84
616,6
84,20
183,27
547,1
198,36
603,85
437,121
545,142
19,47
259,79
228,133
339,123
526,149
518,25
29,86
220,16
165,29
513,14
119,82
134,143
252,107
17,149
442,148
9,59
93,20
222,46
135,1
305,144
357,19
419,105
341,96
589,49
255,141
690,108
110,132
447,93
670,28
65,31
370,18
547,2
431,120
17,96
533,86
570,47
469,149
551,61
65,109
453,22
171,81
466,67
654,112
632,128
464,2
407,10
141,17
360,44
672,35
13,5
545,90
250,89
390,48
151,149
598,117
662,28
64,8
616,61
649,92
434,116
493,110
402,37
146,74
17,51
574,38
330,144
197,140
6,53
362,68
297,116
277,130
476,139
402,10
56,148
457,32
86,142
181,120
78,135
653,30
407,73
612,110
183,4
349,25
418,79
206,82
25,115
129,52
27,58
387,14
451,61
488,130
559,38
92,133
314,57
465,120
674,2
278,144
256,9
441,60
551,109
256,103
500,87
585,44
580,110
184,5
11,56
692,147
688,87
68,33
562,53
169,35
441,16
404,140
185,56
43,87
112,94
78,73
207,53
119,105
286,26
579,32
446,105
295,38
50,93
454,98
34,115
452,53
668,15
491,13
410,48
112,65
550,135
335,35
280,136
197,100
285,42
64,98
106,56
45,120
408,54
152,148
102,22
22,19
358,132
235,107
236,86
422,99
56,61
253,116
427,74
58,56
627,30
415,36
287,13
106,1
448,128
679,5
28,49
67,95
647,50
338,126
154,127
199,120
46,148
214,36
227,72
153,22
45,119
571,51
325,134
596,14
549,89
619,143
506,70
18,63
389,115
382,32
191,76
19,65
624,138
684,21
75,116
169,65
218,8
685,93
523,11
317,76
160,81
619,121
413,17
602,58
440,98
107,32
254,54
626,93
610,14
348,140
142,84
522,120
401,68
388,81
700,55
163,14
594,116
527,37
173,74
118,33
465,133
550,94
637,100
588,26
698,120
676,35
606,101
264,48
324,90
453,132
696,9
379,150
390,130
12,141
547,69
127,133
6,80
84,4
467,45
482,18
199,108
640,87
685,45
495,150
4,117
654,42
481,104
354,6
